From,To
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
SSC,Facilities and Operations AEC - Unit IT
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
SSC,Facilities and Operations OSEH - Unit IT
LSA,UmichITAM
LSA,UmichITAM
SSC,Facilities and Operations OSEH - Unit IT
LSA,LSA CSG Computer Support Group - MLB
UMSI,CSDC Project Managers
SSC,IAM Two Factor
MTC,Museum of Art - Museum Technology
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
SSC,Facilities and Operations AEC - Unit IT
SSC,IAM Two Factor
LSA,ITS AWI Web and Application Hosting
UMSI,WIFI
LSA,ITS Storage
LSA,ITS Storage
LSA,UmichITAM
LSA,UmichITAM
SSC,NIT Central 4
UMSI,MiWorkspace Engineering Windows
SSC,HR Shared Services
SSC,HR Shared Services
LSA,WIFI
UMSI,WIFI
SSC,NIT Central 4
School of Education,NIT Central 4
LSA,Desktop Backup
SSC,NIT Central 4
UMSI,Video Services
LSA,UmichITAM
LSA,ITS Postmaster
SSC,Unicenter Application Admin
LSA,UmichITAM
MTC,Museum of Art - Museum Technology
UMSI,Virtual Desktop Infrastructure
SSC,HR Shared Services
SSC,HR Shared Services
SSC,NIT Central 4
SSC,Facilities and Operations AEC - Unit IT
UMSI,Virtual Desktop Infrastructure
SSC,NIT Central 4
DPSS Technology Management,NIT South 2
MTC,Museum of Art - Museum Technology
SSC,NIT Central 4
LSA,ITS Access and Accounts
SSC,NIT Central 4
UMSI,CSDC Billing Analysts
MTC,Museum of Art - Museum Technology
UMSI,Voice Services Operations
UMSI,ITS WES Windows Enterprise Systems
LSA,NIT Central 4
UMSI,Video Services
UMSI,Voice Services Operations
SSC,NIT Central 4
UMSI,Voice Services Operations
LSA,LSA Web Feedback
LSA,Sites Rovers
LSA,NIT Central 3
UMSI,ITS Security Firewall
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
LSA,UmichITAM
MTC,Museum of Art - Museum Technology
LSA,ITS Service Center
UMSI,Video Services
UMSI,Video Services
UMSI,Video Services
LSA,ITS Service Center
LSA,ITS Service Center
LSA,NIT Central 3
LSA,NIT Central 3
UMSI,WIFI
UMSI,Voice Services Operations
UMSI,MiWorkspace Engineering Windows
UMSI,Voice Services Operations
LSA,UmichITAM
UMSI,Voice Services Operations
UMSI,ITS NOC Network Operation Center
SSC,Facilities and Operations AEC - Unit IT
UMSI,ITS NOC Network Operation Center
UMSI,ITS NOC Network Operation Center
SSC,Facilities and Operations AEC - Unit IT
SSC,Facilities and Operations AEC - Unit IT
SSC,Facilities and Operations AEC - Unit IT
UMSI,Voice Services Operations
UMSI,Voice Services Operations
UMSI,CSDC Billing Analysts
UMSI,CSDC Billing Analysts
UMSI,CSDC Billing Analysts
UMSI,Video Services
UMSI,Voice Services Operations
UMSI,Voice Services Operations
UMSI,Voice Services Operations
SSC,NIT Central 4
UMSI,CSDC Billing Analysts
LSA,UmichITAM
SSC,Unicenter Application Admin
UMSI,Video Services